Pointer Pointer,https://pointerpointer.com/,pointerpointer.png,カーソルを指差してくれるよ
Cat Bounce,https://cat-bounce.com/,catbounce.png,猫ちゃんがバウンド。
Endless Horse,http://endless.horse/,endlesshorse.png,馬の脚が永遠に続くだけ・・・
Hacker Typer,https://hackertyper.net/,hackertyper.png,ハッカーのようにタイピング！
Paper Toilet,http://papertoilet.com/,papertoilet.png,トイレットペーパーを使いまくり
Find The Invisible Cow,https://findtheinvisiblecow.com/,findcow.png,鳴き声を頼りに牛を探すゲーム。
Ship Your Enemies Glitter,http://www.shipyourenemiesglitter.com/,shipyourenemiesglitter.png,敵にギフトを送っちゃおう(小声)
Patience Is A Virtue,http://www.patience-is-a-virtue.org/,patienceisavirtue.png,ずーーーーーーーーっと待つだけ
The Useless Web,https://theuselessweb.com/,theuselessweb.png,使いようのないサイトに飛ばしてくれる
Mondrian And Me,https://mondrianandme.com/,mondarianandme.png,これは本当に意味不。。。
This Person Does Not Exist,https://thispersondoesnotexist.com/,thispersondoesnotexist.png,この人達は存在しないらしい。
Staggering Beauty,http://www.staggeringbeauty.com/,staggeringbeauty.png,目が。。目がぁ。。。
LONG DOGE CHALLENGE,https://longdogechallenge.com/,longdogechallenge.png,ひたすら下にスクロール
Heeeeeeeey!Hoooooooo!,http://heeeeeeeey.com/,heeeeeeeey.png,勝手にサイトが切り替わる。。だけ
Corndog,http://corndog.io/,corndog.png,空飛ぶアメリカンドッグ
Pug in a rug,https://puginarug.com,puginarug.png,ラグにくるまれたパグ
Always judge a book by its cover,https://alwaysjudgeabookbyitscover.com,alwaysjudgeabookbyitscover.png,本のジャケ買い
The finger deal with it.,https://thatsthefinger.com/,thatsthefinger.png,F○CK！と人差し指
Can't Not Tweet This,https://cant-not-tweet-this.com/,cant-not-tweet-this.png,ツイートせずにはいられない
Eel slap!,http://eelslap.com/,eelslap.png,おっさんをビンタ(うなぎで)
Bury Me With My Money,http://burymewithmymoney.com/,burymewithmymoney.png,西部劇ゲームのワンシーン？
Smash the walls,https://smashthewalls.com/,smashthewalls.png,壁を割りまくり
Jackson Pollock,https://jacksonpollock.org/,jacksonpollock.png,例の有名絵画を描けちゃう
Passive Aggressive Password,https://www.trypap.com/,trypap.png,パスワード強度を教えてくれる(辛口)
Bienvenue sur le site de la Republique des Mangues,http://www.republiquedesmangues.fr/,republiquedesmangues.png,マンゴー共和国のサイト
move now think later,http://www.movenowthinklater.com/,movenowthinklater.png,自動チェッカーボード
Partridge Gets Lucky,http://www.partridgegetslucky.com/,partridgegetslucky.png,おじさんのエアギター
RRR GGG BBB,http://www.rrrgggbbb.com/,rrrgggbbb.png,RGB!(目がチカチカする。。)
Koalas to the Max dot Com,http://www.koalastothemax.com/,koalastothemax.png,最後までやり遂げたら。。。
EVERY DAY I'M,http://www.everydayim.com/,everydayim.png,毎日がんばってるってこと。
Random Color,http://randomcolour.com/,randomcolour.png,ランダムで壁紙の色変わるだけ
Chrismckenzie,http://chrismckenzie.com/,chrismckenzie.png,カーソルを追いかける四角い顔
The Zen Zone,https://thezen.zone/,thezen.png,これは暇つぶしにいいかも
Has the Large Hadron Collider destroyed the world yet?,http://hasthelargehadroncolliderdestroyedtheworldyet.com/,hasthelargehadroncolliderdestroyedtheworldyet.png,ひとまず安心だね。
Ninjaflex,http://ninjaflex.com/,ninjaflex.png,3Dプリンタの樹脂でこの名前あるらしい
I HAS A BUCKET!,http://ihasabucket.com/,ihasabucket.png,セイウチさん。
corn dog on corn dog,http://corndogoncorndog.com/,corndogoncorndog.png,アメリカンドッグ系その２
i'm a ninja,http://imaninja.com/,imaninja.png,発想はおもしろい
Drawing Garden,http://drawing.garden/,drawing.png,これは和む
Is my computer on,http://www.ismycomputeron.com/,ismycomputeron.png,そりゃそうよ。
Nulling the Void,http://www.nullingthevoid.com/,nullingthevoid.png,ちょっとわからん
Much better than this,http://www.muchbetterthanthis.com/,muchbetterthanthis.png,これは。。。！
Yes No if,http://www.yesnoif.com/,yesnoif.png,クリックしまくるときれいだよ
Lacquer Lacquer,http://lacquerlacquer.com,lacquerlacquer.png,これはなんかおしゃれ
Potato or Tomato,http://potatoortomato.com/,potatoortomato.png,めちゃむずいクイズ
I am awesome,http://iamawesome.com/,iamawesome.png,承認欲求満たしてくれる
Strobe Illusion,https://strobe.cool/,strobe.png,錯視が好きな人におすすめ
Please Like,http://www.pleaselike.com/,pleaselike.png,シンプルにLIKEほしいんだね
Crouton,http://crouton.net/,crouton.png,クルトン。
CORGI ORGY,http://corgiorgy.com/,corgiorgy.png,コーギーかわいい。
Wutdafuk,http://www.wutdafuk.com/,wutdafuk.png,WTF!
Unicode Snowman for You,http://unicodesnowmanforyou.com/,unicodesnowmanforyou.png,雪だるまかわいい。
The chillest of monkeys,http://chillestmonkey.com/,chillestmonkey.png,BGMも相まってくそカッコイイ猿
Scroll-O-Meter,http://scroll-o-meter.club/,scroll-o-meter.png,スクロールして歩きまくるやつ
Cross Divisions,http://www.crossdivisions.com/,crossdivisions.png,クリックで色変えられるよ
Ten cents,http://tencents.info/,tencents.png,ただの10セント
BORING BORING BORING,https://boringboringboring.com/,boringboringboring.png,つまらん。
PIXELS FIGHTING,http://pixelsfighting.com/,pixelsfighting.png,ピクセルが戦っているらしい
Is It White???,http://isitwhite.com/,isitwhite.png,これは白？？？
existentialcrisis,https://existentialcrisis.com/,existentialcrisis.png,自分の存在意義。。。
One Million LOLs,http://onemillionlols.com/,onemillionlols.png,lolが1000000個
OMFGDOGS,http://www.omfgdogs.com/,omfgdogs.png,わんちゃんかわいい。
There is nothing here,http://oct82.com/,oct82.png,何も起きないけど不気味。。。
chihuahua spin,http://chihuahuaspin.com/,chihuahuaspin.png,チワワが回転
Blank windows,http://www.blankwindows.com/,blankwindows.png,まさにwindows
dog,http://dogs.are.the.most.moe/,dogs.are.the.most.moe.png,ワンちゃんをなでまくるやつ
Tunnel Snakes Rule,http://tunnelsnakes.com/,tunnelsnakes.png,Falloutネタ
Trash loop,http://www.trashloop.com/,trashloop.png,ゴミ箱シュート！
ASCII Middle Finger,http://www.ascii-middle-finger.com/,ascii-middle-finger.png,F○CK!(ASCII ver.)
Spacies,http://spaceis.cool/,spaceis.png,うちゅう。。。。。。
Do Nothing for 2 Minutes,http://www.donothingfor2minutes.com/,donothingfor2minutes.png,２分間なにもするなってよ
Build shruggie,http://buildshruggie.com/,buildshruggie.png,肩をすくめるってことらしい
B.A.B,http://buzzybuzz.biz/,buzzybuzz.png,忙しいハチさん
Yeah Lemons,http://yeahlemons.com/,yeahlemons.png,レモン大量まつり
The Wow'en Wilson Quiz,http://wowenwilsonquiz.com,wowenwilsonquiz.png,オーウェン・ウィルソンのファンはぜひ
The Pigeon,https://thepigeon.org/,thepigeon.png,鳩。
Not Day of the Week,http://notdayoftheweek.com/,notdayoftheweek.png,今日は何曜日じゃない？
Am I Alright?,http://www.amialright.com/,amialright.png,We are alright!
Instant No Button! Star Wars funnies FTW!,http://nooooooooooooooo.com/,nooooooooooooooo.png,"ダース・ベイダーの""Nooooo!"""
Great Big Nothing,https://greatbignothing.com/,greatbignothing.png,ただ。。雲。。。
Zoomquilt,https://zoomquilt.org/,zoomquilt.png,これすごいよ。
Dad Laugh Button,https://dadlaughbutton.com/,dadlaughbutton.png,おっさんの笑い声
Bouncing DVD logo,https://www.bouncingdvdlogo.com/,bouncingdvdlogo.png,DVDのあれ！！！！！！！
REMOJI - An emoji party on your screen,https://remoji.com/,remoji.png,これはほんわか系。
